city,count,latitude,longitude
Dhuluiya,25,34.057114,44.218292
Paris,25,48.856644,2.34233
Sui,25,28.633307000000002,69.19036899999999
Khuzdar,25,27.809921000000003,66.620956
Beni,25,0.49594399999999994,29.459606
Abu Sayda,25,33.926586,44.772064
Slovyansk,25,48.851688,37.613808
Seiyun,25,15.940010999999998,48.789753000000005
Chattar,25,28.869226,68.334419
Ashkelon,25,31.670149,34.575153
Debaltseve,25,48.346134,38.424828000000005
Andar district,25,33.273713,68.561447
Sopore,24,34.288891,74.46371500000001
Stanytsia Luhanska,24,48.660713,39.470314
Taza Khurmatu,24,35.303047,44.329933000000004
Bashir,24,35.244621,44.275486
Faiyum,24,29.311707000000002,30.838812
Marjah,24,31.467463000000002,64.092445
Bardere,24,2.349308,42.280334
Aguelhoc,24,19.464848,0.8563930000000001
Bati Kot district,23,34.288258,70.78250899999999
Yathrib,23,33.994591,44.357273
Shirqat district,23,35.494847,43.097163
Baraki Barak district,23,33.969167,68.944722
Sderot,23,31.5282,34.596382
Sixth of October,23,29.997915000000003,30.963032000000002
Wihdah,23,33.126019,44.685215
Karbala,23,32.604393,44.007145
Tral,22,33.931011,75.114212
Maymana,22,35.915304,64.750752
Hillah,22,32.469238,44.416637
Qoryoley,22,1.789637,44.529976
Baghlani Jadid district,22,35.804295,69.287754
Kech district,22,26.00422,63.060478
Rajshahi,22,24.368779999999997,88.64031899999999
Iskandariyah,22,32.887157,44.341637
Berlin,21,52.50153,13.401851
Nad Ali district,21,31.636267,64.243237
Tel Aviv,21,32.08297,34.811886
Marinka,21,47.942608,37.505134999999996
Ankara,21,39.930771,32.767540000000004
Kano,21,11.974328,8.50026
Balad,21,34.010471,44.148235
Shariff Aguak,21,6.862806,124.443649
Mohammad Agha district,21,34.214774,69.098546
Adhaim,21,34.275065999999995,44.537865000000004
Bawi,21,33.100297999999995,44.583139
Achin district,20,34.035533,70.574089
Deir ez-Zor,20,35.333061,40.138737
Tikrit district,20,34.925074,43.809003999999995
Tump,20,26.102882,62.368945999999994
Hangu,20,33.528893,71.056122
Ishaqi,20,34.010096999999995,44.062745
Hub,20,25.044537,66.874672
Horlivka,20,48.327225,38.025673
Shopian,20,33.721287,74.831062
Gombe,20,10.286653,11.163861
Khwaja Sabz Posh district,20,36.098459000000005,64.864461
